"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1110056,"Mulgrave River at Deeral","2013-2014",2013-11-25 18:00:00,0.974058056107652
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-10 16:00:00,0.113012369881194
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-13 12:00:00,15.3371796494142
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-23 09:10:00,0.0627604563278927
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-24 14:43:00,15.1094516372395
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-28 10:43:00,0.523698630088809
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-29 10:40:00,0.351249580393309
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-30 08:51:00,1.21191896298772
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-31 11:20:00,1.92850011848655e-05
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 09:28:00,27.2944907152597
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 12:32:00,14.3196443503454
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 08:40:00,1.18157066358328
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 11:30:00,1.99708283538559
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-06 08:43:00,0.351261087429955
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-07 15:45:00,0.0627719966780904
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-10 11:30:00,0.0849452480504387
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-11 13:20:00,0.010373303225153
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-12 13:42:00,0.010373303225153
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-24 13:22:00,1.18157066358328
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-27 11:15:00,3.08325964759604e-05
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-07 13:30:00,3.08325964759604e-05
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-13 09:37:00,0.0627719966780904
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 11:40:00,1.52864706790433
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 12:00:00,1.60850439182332
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 14:16:00,1.41039012581372
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 17:35:00,0.925078432747961
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 23:10:00,0.211965808688874
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 04:45:00,0.010373303225153
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 09:30:00,1.70721789164601
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:20:00,0.0849452480504387
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:58:00,1.41926541711537
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 15:55:00,1.3827810005656
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 18:05:00,0.242623404705422
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 21:30:00,0.381875888151273
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 03:05:00,0.381875888151273
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 08:40:00,0.785654039078432
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 09:40:00,0.586555781494413
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 12:30:00,0.161748754893265
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 15:26:00,3.08325964759604e-05
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 16:24:00,0.242623404705422
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 23:01:00,0.242623404705422
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 04:36:00,0.690134692233513
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 09:55:00,0.447843298139716
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 10:11:00,0.447843298139716
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 15:00:00,0.242623404705422
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 20:53:00,0.242623404705422
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 02:28:00,0.211965808688874
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 08:03:00,0.1130388342102
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 08:58:00,0.1130388342102
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 13:38:00,0.0325581803892527
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 19:13:00,0.1130388342102
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-25 10:06:00,0.0849452480504387
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-29 10:25:00,3.08325964759604e-05
